   列号   行号   纬度   经度
    467    475  35.02  42.69
    467    476  35.01  42.78
    467    477  35.00  42.88
    467    478  35.00  42.97
    467    479  34.99  43.07
    467    480  34.98  43.16
    467    481  34.98  43.26
    467    482  34.97  43.35
    467    483  34.96  43.45
    467    484  34.96  43.54
    467    485  34.95  43.63
    467    486  34.94  43.73
    467    487  34.94  43.82
    467    488  34.93  43.91
    467    489  34.93  44.01
    467    490  34.92  44.10
    467    491  34.91  44.19
    467    492  34.91  44.28
    467    493  34.90  44.38
    467    494  34.89  44.47
    467    495  34.89  44.56
    467    496  34.88  44.65
    467    497  34.88  44.74
    467    498  34.87  44.83
    467    499  34.86  44.92
    467    500  34.86  45.01
    467    501  34.85  45.10
    467    502  34.85  45.19
    467    503  34.84  45.28
    467    504  34.83  45.37
    467    505  34.83  45.46
    467    506  34.82  45.55
    467    507  34.82  45.64
    467    508  34.81  45.73
    467    509  34.81  45.82
    467    510  34.80  45.91
    467    511  34.79  46.00
    467    512  34.79  46.08
    467    513  34.78  46.17
    467    514  34.78  46.26
    467    515  34.77  46.35
    467    516  34.77  46.43
    467    517  34.76  46.52
    467    518  34.75  46.61
    467    519  34.75  46.69
    467    520  34.74  46.78
    467    521  34.74  46.87
    467    522  34.73  46.95
    467    523  34.73  47.04
    467    524  34.72  47.12
    467    525  34.72  47.21
    467    526  34.71  47.30
    467    527  34.70  47.38
    467    528  34.70  47.47
    467    529  34.69  47.55
    467    530  34.69  47.64
    467    531  34.68  47.72
    467    532  34.68  47.80
    467    533  34.67  47.89
    467    534  34.67  47.97
    467    535  34.66  48.06
    467    536  34.66  48.14
    467    537  34.65  48.22
    467    538  34.65  48.31
    467    539  34.64  48.39
    467    540  34.64  48.47
    467    541  34.63  48.56
    467    542  34.63  48.64
    467    543  34.62  48.72
    467    544  34.62  48.80
    467    545  34.61  48.89
    467    546  34.61  48.97
    467    547  34.60  49.05
    467    548  34.60  49.13
    467    549  34.59  49.21
    467    550  34.59  49.30
    468    451  35.12  40.36
    468    452  35.11  40.46
    468    453  35.10  40.56
    468    454  35.10  40.66
    468    455  35.09  40.77
    468    456  35.08  40.87
    468    457  35.07  40.97
    468    458  35.07  41.07
    468    459  35.06  41.17
    468    460  35.05  41.27
    468    461  35.05  41.37
    468    462  35.04  41.47
    468    463  35.03  41.57
    468    464  35.03  41.67
    468    465  35.02  41.77
    468    466  35.01  41.87
    468    467  35.00  41.96
    468    468  35.00  42.06
    468    469  34.99  42.16
    468    470  34.98  42.26
    468    471  34.98  42.35
    468    472  34.97  42.45
    468    473  34.96  42.55
    468    474  34.96  42.64
    468    475  34.95  42.74
    468    476  34.94  42.84
    468    477  34.94  42.93
    468    478  34.93  43.03
    468    479  34.92  43.12
    468    480  34.92  43.22
    468    481  34.91  43.31
    468    482  34.90  43.40
    468    483  34.90  43.50
    468    484  34.89  43.59
    468    485  34.89  43.69
    468    486  34.88  43.78
    468    487  34.87  43.87
    468    488  34.87  43.97
    468    489  34.86  44.06
    468    490  34.85  44.15
    468    491  34.85  44.24
    468    492  34.84  44.33
    468    493  34.84  44.43
    468    494  34.83  44.52
    468    495  34.82  44.61
    468    496  34.82  44.70
    468    497  34.81  44.79
    468    498  34.80  44.88
    468    499  34.80  44.97
    468    500  34.79  45.06
    468    501  34.79  45.15
    468    502  34.78  45.24
    468    503  34.77  45.33
    468    504  34.77  45.42
    468    505  34.76  45.51
    468    506  34.76  45.60
    468    507  34.75  45.69
    468    508  34.75  45.78
    468    509  34.74  45.87
    468    510  34.73  45.95
    468    511  34.73  46.04
    468    512  34.72  46.13
    468    513  34.72  46.22
    468    514  34.71  46.30
    468    515  34.71  46.39
    468    516  34.70  46.48
    468    517  34.69  46.57
    468    518  34.69  46.65
    468    519  34.68  46.74
    468    520  34.68  46.83
    468    521  34.67  46.91
    468    522  34.67  47.00
    468    523  34.66  47.08
    468    524  34.66  47.17
    468    525  34.65  47.25
    468    526  34.64  47.34
    468    527  34.64  47.42
    468    528  34.63  47.51
    468    529  34.63  47.59
    468    530  34.62  47.68
    468    531  34.62  47.76
    468    532  34.61  47.85
    468    533  34.61  47.93
    468    534  34.60  48.02
    468    535  34.60  48.10
    468    536  34.59  48.18
    468    537  34.59  48.27
    468    538  34.58  48.35
    468    539  34.58  48.43
    468    540  34.57  48.52
    468    541  34.57  48.60
    468    542  34.56  48.68
    468    543  34.56  48.76
    468    544  34.55  48.85
    468    545  34.55  48.93
    468    546  34.54  49.01
    468    547  34.54  49.09
    468    548  34.53  49.17
    468    549  34.53  49.25
    468    550  34.52  49.34
    469    451  35.05  40.42
    469    452  35.04  40.52
    469    453  35.04  40.62
    469    454  35.03  40.72
    469    455  35.02  40.83
    469    456  35.01  40.93
    469    457  35.01  41.03
    469    458  35.00  41.13
    469    459  34.99  41.23
    469    460  34.99  41.33
    469    461  34.98  41.43
    469    462  34.97  41.53
    469    463  34.97  41.63
    469    464  34.96  41.72
    469    465  34.95  41.82
    469    466  34.94  41.92
    469    467  34.94  42.02
    469    468  34.93  42.12
    469    469  34.92  42.21
    469    470  34.92  42.31
    469    471  34.91  42.41
    469    472  34.90  42.51
    469    473  34.90  42.60
    469    474  34.89  42.70
    469    475  34.88  42.79
    469    476  34.88  42.89
    469    477  34.87  42.98
    469    478  34.86  43.08
    469    479  34.86  43.17
    469    480  34.85  43.27
    469    481  34.84  43.36
    469    482  34.84  43.46
    469    483  34.83  43.55
    469    484  34.83  43.64
    469    485  34.82  43.74
    469    486  34.81  43.83
    469    487  34.81  43.92
    469    488  34.80  44.02
    469    489  34.79  44.11
    469    490  34.79  44.20
    469    491  34.78  44.29
    469    492  34.78  44.38
    469    493  34.77  44.48
    469    494  34.76  44.57
    469    495  34.76  44.66
    469    496  34.75  44.75
    469    497  34.75  44.84
    469    498  34.74  44.93
    469    499  34.73  45.02
    469    500  34.73  45.11
    469    501  34.72  45.20
    469    502  34.72  45.29
    469    503  34.71  45.38
    469    504  34.70  45.47
    469    505  34.70  45.56
    469    506  34.69  45.65
    469    507  34.69  45.74
    469    508  34.68  45.82
    469    509  34.67  45.91
    469    510  34.67  46.00
    469    511  34.66  46.09
    469    512  34.66  46.18
    469    513  34.65  46.26
    469    514  34.65  46.35
    469    515  34.64  46.44
    469    516  34.63  46.52
    469    517  34.63  46.61
    469    518  34.62  46.70
    469    519  34.62  46.78
    469    520  34.61  46.87
    469    521  34.61  46.96
    469    522  34.60  47.04
    469    523  34.60  47.13
    469    524  34.59  47.21
    469    525  34.59  47.30
    469    526  34.58  47.38
    469    527  34.57  47.47
    469    528  34.57  47.55
    469    529  34.56  47.64
    469    530  34.56  47.72
    469    531  34.55  47.81
    469    532  34.55  47.89
    469    533  34.54  47.97
    469    534  34.54  48.06
    469    535  34.53  48.14
    469    536  34.53  48.22
    469    537  34.52  48.31
    469    538  34.52  48.39
    469    539  34.51  48.47
    469    540  34.51  48.56
    469    541  34.50  48.64
    469    542  34.50  48.72
    469    543  34.49  48.80
    469    544  34.49  48.89
    469    545  34.48  48.97
    469    546  34.48  49.05
    469    547  34.47  49.13
    469    548  34.47  49.21
    469    549  34.46  49.29
    469    550  34.46  49.38
    470    451  34.98  40.48
    470    452  34.98  40.58
    470    453  34.97  40.68
    470    454  34.96  40.78
    470    455  34.96  40.88
    470    456  34.95  40.98
    470    457  34.94  41.09
    470    458  34.93  41.19
    470    459  34.93  41.29
    470    460  34.92  41.39
    470    461  34.91  41.48
    470    462  34.91  41.58
    470    463  34.90  41.68
    470    464  34.89  41.78
    470    465  34.88  41.88
    470    466  34.88  41.98
    470    467  34.87  42.07
    470    468  34.86  42.17
    470    469  34.86  42.27
    470    470  34.85  42.37
    470    471  34.84  42.46
    470    472  34.84  42.56
    470    473  34.83  42.66
    470    474  34.82  42.75
    470    475  34.82  42.85
    470    476  34.81  42.94
    470    477  34.80  43.04
    470    478  34.80  43.13
    470    479  34.79  43.23
    470    480  34.79  43.32
    470    481  34.78  43.42
    470    482  34.77  43.51
    470    483  34.77  43.60
    470    484  34.76  43.70
    470    485  34.75  43.79
    470    486  34.75  43.88
    470    487  34.74  43.97
    470    488  34.73  44.07
    470    489  34.73  44.16
    470    490  34.72  44.25
    470    491  34.72  44.34
    470    492  34.71  44.43
    470    493  34.70  44.53
    470    494  34.70  44.62
    470    495  34.69  44.71
    470    496  34.69  44.80
    470    497  34.68  44.89
    470    498  34.67  44.98
    470    499  34.67  45.07
    470    500  34.66  45.16
    470    501  34.66  45.25
    470    502  34.65  45.34
    470    503  34.64  45.43
    470    504  34.64  45.52
    470    505  34.63  45.61
    470    506  34.63  45.69
    470    507  34.62  45.78
    470    508  34.61  45.87
    470    509  34.61  45.96
    470    510  34.60  46.05
    470    511  34.60  46.13
    470    512  34.59  46.22
    470    513  34.59  46.31
    470    514  34.58  46.40
    470    515  34.58  46.48
    470    516  34.57  46.57
    470    517  34.56  46.66
    470    518  34.56  46.74
    470    519  34.55  46.83
    470    520  34.55  46.91
    470    521  34.54  47.00
    470    522  34.54  47.09
    470    523  34.53  47.17
    470    524  34.53  47.26
    470    525  34.52  47.34
    470    526  34.52  47.43
    470    527  34.51  47.51
    470    528  34.50  47.60
    470    529  34.50  47.68
    470    530  34.49  47.76
    470    531  34.49  47.85
    470    532  34.48  47.93
    470    533  34.48  48.02
    470    534  34.47  48.10
    470    535  34.47  48.18
    470    536  34.46  48.27
    470    537  34.46  48.35
    470    538  34.45  48.43
    470    539  34.45  48.52
    470    540  34.44  48.60
    470    541  34.44  48.68
    470    542  34.43  48.76
    470    543  34.43  48.84
    470    544  34.42  48.93
    470    545  34.42  49.01
    470    546  34.41  49.09
    470    547  34.41  49.17
    470    548  34.40  49.25
    470    549  34.40  49.33
    470    550  34.39  49.42
    471    451  34.92  40.54
    471    452  34.91  40.64
    471    453  34.90  40.74
    471    454  34.90  40.84
    471    455  34.89  40.94
    471    456  34.88  41.04
    471    457  34.87  41.14
    471    458  34.87  41.24
    471    459  34.86  41.34
    471    460  34.85  41.44
    471    461  34.85  41.54
    471    462  34.84  41.64
    471    463  34.83  41.74
    471    464  34.83  41.84
    471    465  34.82  41.93
    471    466  34.81  42.03
    471    467  34.80  42.13
    471    468  34.80  42.23
    471    469  34.79  42.32
    471    470  34.78  42.42
    471    471  34.78  42.52
    471    472  34.77  42.61
    471    473  34.76  42.71
    471    474  34.76  42.80
    471    475  34.75  42.90
    471    476  34.74  43.00
    471    477  34.74  43.09
    471    478  34.73  43.18
    471    479  34.73  43.28
    471    480  34.72  43.37
    471    481  34.71  43.47
    471    482  34.71  43.56
    471    483  34.70  43.65
    471    484  34.69  43.75
    471    485  34.69  43.84
    471    486  34.68  43.93
    471    487  34.67  44.02
    471    488  34.67  44.12
    471    489  34.66  44.21
    471    490  34.66  44.30
    471    491  34.65  44.39
    471    492  34.64  44.48
    471    493  34.64  44.57
    471    494  34.63  44.67
    471    495  34.63  44.76
    471    496  34.62  44.85
    471    497  34.61  44.94
    471    498  34.61  45.03
    471    499  34.60  45.12
    471    500  34.60  45.21
    471    501  34.59  45.30
    471    502  34.58  45.39
    471    503  34.58  45.47
    471    504  34.57  45.56
    471    505  34.57  45.65
    471    506  34.56  45.74
    471    507  34.56  45.83
    471    508  34.55  45.92
    471    509  34.54  46.00
    471    510  34.54  46.09
    471    511  34.53  46.18
    471    512  34.53  46.27
    471    513  34.52  46.35
    471    514  34.52  46.44
    471    515  34.51  46.53
    471    516  34.50  46.61
    471    517  34.50  46.70
    471    518  34.49  46.79
    471    519  34.49  46.87
    471    520  34.48  46.96
    471    521  34.48  47.04
    471    522  34.47  47.13
    471    523  34.47  47.21
    471    524  34.46  47.30
    471    525  34.46  47.38
    471    526  34.45  47.47
    471    527  34.45  47.55
    471    528  34.44  47.64
    471    529  34.43  47.72
    471    530  34.43  47.81
    471    531  34.42  47.89
    471    532  34.42  47.97
    471    533  34.41  48.06
    471    534  34.41  48.14
    471    535  34.40  48.22
    471    536  34.40  48.31
    471    537  34.39  48.39
    471    538  34.39  48.47
    471    539  34.38  48.56
    471    540  34.38  48.64
    471    541  34.37  48.72
    471    542  34.37  48.80
    471    543  34.36  48.89
    471    544  34.36  48.97
    471    545  34.35  49.05
    471    546  34.35  49.13
    471    547  34.34  49.21
    471    548  34.34  49.29
    471    549  34.33  49.37
    471    550  34.33  49.46
    472    451  34.85  40.60
    472    452  34.84  40.70
    472    453  34.84  40.80
    472    454  34.83  40.90
    472    455  34.82  41.00
    472    456  34.81  41.10
    472    457  34.81  41.20
    472    458  34.80  41.30
    472    459  34.79  41.40
    472    460  34.79  41.50
    472    461  34.78  41.60
    472    462  34.77  41.70
    472    463  34.77  41.79
    472    464  34.76  41.89
    472    465  34.75  41.99
    472    466  34.75  42.09
    472    467  34.74  42.18
    472    468  34.73  42.28
    472    469  34.72  42.38
    472    470  34.72  42.47
    472    471  34.71  42.57
    472    472  34.71  42.67
    472    473  34.70  42.76
    472    474  34.69  42.86
    472    475  34.69  42.95
    472    476  34.68  43.05
    472    477  34.67  43.14
    472    478  34.67  43.24
    472    479  34.66  43.33
    472    480  34.65  43.42
    472    481  34.65  43.52
    472    482  34.64  43.61
    472    483  34.63  43.70
    472    484  34.63  43.80
    472    485  34.62  43.89
    472    486  34.62  43.98
    472    487  34.61  44.08
    472    488  34.60  44.17
    472    489  34.60  44.26
    472    490  34.59  44.35
    472    491  34.58  44.44
    472    492  34.58  44.53
    472    493  34.57  44.62
    472    494  34.57  44.71
    472    495  34.56  44.81
    472    496  34.55  44.90
    472    497  34.55  44.99
    472    498  34.54  45.08
    472    499  34.54  45.16
    472    500  34.53  45.25
    472    501  34.53  45.34
    472    502  34.52  45.43
    472    503  34.51  45.52
    472    504  34.51  45.61
    472    505  34.50  45.70
    472    506  34.50  45.79
    472    507  34.49  45.87
    472    508  34.48  45.96
    472    509  34.48  46.05
    472    510  34.47  46.14
    472    511  34.47  46.22
    472    512  34.46  46.31
    472    513  34.46  46.40
    472    514  34.45  46.49
    472    515  34.45  46.57
    472    516  34.44  46.66
    472    517  34.43  46.74
    472    518  34.43  46.83
    472    519  34.42  46.92
    472    520  34.42  47.00
    472    521  34.41  47.09
    472    522  34.41  47.17
    472    523  34.40  47.26
    472    524  34.40  47.34
    472    525  34.39  47.43
    472    526  34.39  47.51
    472    527  34.38  47.60
    472    528  34.38  47.68
    472    529  34.37  47.76
    472    530  34.36  47.85
    472    531  34.36  47.93
    472    532  34.35  48.02
    472    533  34.35  48.10
    472    534  34.34  48.18
    472    535  34.34  48.27
    472    536  34.33  48.35
    472    537  34.33  48.43
    472    538  34.32  48.51
    472    539  34.32  48.60
    472    540  34.31  48.68
    472    541  34.31  48.76
    472    542  34.30  48.84
    472    543  34.30  48.93
    472    544  34.29  49.01
    472    545  34.29  49.09
    472    546  34.28  49.17
    472    547  34.28  49.25
    472    548  34.27  49.33
    472    549  34.27  49.41
    472    550  34.26  49.49
    473    451  34.78  40.65
    473    452  34.78  40.76
    473    453  34.77  40.86
    473    454  34.76  40.96
    473    455  34.75  41.06
    473    456  34.75  41.16
    473    457  34.74  41.26
    473    458  34.73  41.36
    473    459  34.73  41.46
    473    460  34.72  41.55
    473    461  34.71  41.65
    473    462  34.71  41.75
    473    463  34.70  41.85
    473    464  34.69  41.95
    473    465  34.69  42.04
    473    466  34.68  42.14
    473    467  34.67  42.24
    473    468  34.67  42.34
    473    469  34.66  42.43
    473    470  34.65  42.53
    473    471  34.65  42.62
    473    472  34.64  42.72
    473    473  34.63  42.82
    473    474  34.63  42.91
    473    475  34.62  43.01
    473    476  34.61  43.10
    473    477  34.61  43.19
    473    478  34.60  43.29
    473    479  34.59  43.38
    473    480  34.59  43.48
    473    481  34.58  43.57
    473    482  34.57  43.66
    473    483  34.57  43.76
    473    484  34.56  43.85
    473    485  34.56  43.94
    473    486  34.55  44.03
    473    487  34.54  44.12
    473    488  34.54  44.22
    473    489  34.53  44.31
    473    490  34.53  44.40
    473    491  34.52  44.49
    473    492  34.51  44.58
    473    493  34.51  44.67
    473    494  34.50  44.76
    473    495  34.50  44.85
    473    496  34.49  44.94
    473    497  34.48  45.03
    473    498  34.48  45.12
    473    499  34.47  45.21
    473    500  34.47  45.30
    473    501  34.46  45.39
    473    502  34.45  45.48
    473    503  34.45  45.57
    473    504  34.44  45.66
    473    505  34.44  45.74
    473    506  34.43  45.83
    473    507  34.43  45.92
    473    508  34.42  46.01
    473    509  34.41  46.10
    473    510  34.41  46.18
    473    511  34.40  46.27
    473    512  34.40  46.36
    473    513  34.39  46.44
    473    514  34.39  46.53
    473    515  34.38  46.62
    473    516  34.38  46.70
    473    517  34.37  46.79
    473    518  34.36  46.87
    473    519  34.36  46.96
    473    520  34.35  47.05
    473    521  34.35  47.13
    473    522  34.34  47.22
    473    523  34.34  47.30
    473    524  34.33  47.39
    473    525  34.33  47.47
    473    526  34.32  47.55
    473    527  34.32  47.64
    473    528  34.31  47.72
    473    529  34.31  47.81
    473    530  34.30  47.89
    473    531  34.30  47.97
    473    532  34.29  48.06
    473    533  34.28  48.14
    473    534  34.28  48.22
    473    535  34.27  48.31
    473    536  34.27  48.39
    473    537  34.26  48.47
    473    538  34.26  48.56
    473    539  34.25  48.64
    473    540  34.25  48.72
    473    541  34.24  48.80
    473    542  34.24  48.88
    473    543  34.23  48.97
    473    544  34.23  49.05
    473    545  34.22  49.13
    473    546  34.22  49.21
    473    547  34.21  49.29
    473    548  34.21  49.37
    473    549  34.21  49.45
    473    550  34.20  49.53
    474    451  34.72  40.71
    474    452  34.71  40.81
    474    453  34.70  40.91
    474    454  34.70  41.01
    474    455  34.69  41.11
    474    456  34.68  41.21
    474    457  34.67  41.31
    474    458  34.67  41.41
    474    459  34.66  41.51
    474    460  34.65  41.61
    474    461  34.65  41.71
    474    462  34.64  41.81
    474    463  34.63  41.90
    474    464  34.63  42.00
    474    465  34.62  42.10
    474    466  34.61  42.20
    474    467  34.61  42.29
    474    468  34.60  42.39
    474    469  34.59  42.49
    474    470  34.59  42.58
    474    471  34.58  42.68
    474    472  34.57  42.77
    474    473  34.57  42.87
    474    474  34.56  42.96
    474    475  34.55  43.06
    474    476  34.55  43.15
    474    477  34.54  43.25
    474    478  34.53  43.34
    474    479  34.53  43.43
    474    480  34.52  43.53
    474    481  34.52  43.62
    474    482  34.51  43.71
    474    483  34.50  43.81
    474    484  34.50  43.90
    474    485  34.49  43.99
    474    486  34.48  44.08
    474    487  34.48  44.17
    474    488  34.47  44.27
    474    489  34.47  44.36
    474    490  34.46  44.45
    474    491  34.45  44.54
    474    492  34.45  44.63
    474    493  34.44  44.72
    474    494  34.44  44.81
    474    495  34.43  44.90
    474    496  34.42  44.99
    474    497  34.42  45.08
    474    498  34.41  45.17
    474    499  34.41  45.26
    474    500  34.40  45.35
    474    501  34.39  45.44
    474    502  34.39  45.53
    474    503  34.38  45.61
    474    504  34.38  45.70
    474    505  34.37  45.79
    474    506  34.37  45.88
    474    507  34.36  45.97
    474    508  34.35  46.05
    474    509  34.35  46.14
    474    510  34.34  46.23
    474    511  34.34  46.32
    474    512  34.33  46.40
    474    513  34.33  46.49
    474    514  34.32  46.57
    474    515  34.32  46.66
    474    516  34.31  46.75
    474    517  34.31  46.83
    474    518  34.30  46.92
    474    519  34.29  47.00
    474    520  34.29  47.09
    474    521  34.28  47.17
    474    522  34.28  47.26
    474    523  34.27  47.34
    474    524  34.27  47.43
    474    525  34.26  47.51
    474    526  34.26  47.60
    474    527  34.25  47.68
    474    528  34.25  47.77
    474    529  34.24  47.85
    474    530  34.24  47.93
    474    531  34.23  48.02
    474    532  34.23  48.10
    474    533  34.22  48.18
    474    534  34.22  48.27
    474    535  34.21  48.35
    474    536  34.21  48.43
    474    537  34.20  48.51
    474    538  34.20  48.60
    474    539  34.19  48.68
    474    540  34.19  48.76
    474    541  34.18  48.84
    474    542  34.18  48.92
    474    543  34.17  49.01
    474    544  34.17  49.09
    474    545  34.16  49.17
    474    546  34.16  49.25
    474    547  34.15  49.33
    474    548  34.15  49.41
    474    549  34.14  49.49
    474    550  34.14  49.57
    475    451  34.65  40.77
    475    452  34.64  40.87
    475    453  34.64  40.97
    475    454  34.63  41.07
    475    455  34.62  41.17
    475    456  34.61  41.27
    475    457  34.61  41.37
    475    458  34.60  41.47
    475    459  34.59  41.57
    475    460  34.59  41.67
    475    461  34.58  41.76
    475    462  34.57  41.86
    475    463  34.57  41.96
    475    464  34.56  42.06
    475    465  34.55  42.15
    475    466  34.55  42.25
    475    467  34.54  42.35
    475    468  34.53  42.44
    475    469  34.53  42.54
    475    470  34.52  42.63
    475    471  34.51  42.73
    475    472  34.51  42.83
    475    473  34.50  42.92
    475    474  34.49  43.01
    475    475  34.49  43.11
    475    476  34.48  43.20
    475    477  34.48  43.30
    475    478  34.47  43.39
    475    479  34.46  43.48
    475    480  34.46  43.58
    475    481  34.45  43.67
    475    482  34.44  43.76
    475    483  34.44  43.86
    475    484  34.43  43.95
    475    485  34.43  44.04
    475    486  34.42  44.13
    475    487  34.41  44.22
    475    488  34.41  44.32
    475    489  34.40  44.41
    475    490  34.39  44.50
    475    491  34.39  44.59
    475    492  34.38  44.68
    475    493  34.38  44.77
    475    494  34.37  44.86
    475    495  34.36  44.95
    475    496  34.36  45.04
    475    497  34.35  45.13
    475    498  34.35  45.22
    475    499  34.34  45.31
    475    500  34.34  45.40
    475    501  34.33  45.48
    475    502  34.32  45.57
    475    503  34.32  45.66
    475    504  34.31  45.75
    475    505  34.31  45.84
    475    506  34.30  45.92
    475    507  34.30  46.01
    475    508  34.29  46.10
    475    509  34.28  46.19
    475    510  34.28  46.27
    475    511  34.27  46.36
    475    512  34.27  46.45
    475    513  34.26  46.53
    475    514  34.26  46.62
    475    515  34.25  46.70
    475    516  34.25  46.79
    475    517  34.24  46.88
    475    518  34.24  46.96
    475    519  34.23  47.05
    475    520  34.22  47.13
    475    521  34.22  47.22
    475    522  34.21  47.30
    475    523  34.21  47.39
    475    524  34.20  47.47
    475    525  34.20  47.56
    475    526  34.19  47.64
    475    527  34.19  47.72
    475    528  34.18  47.81
    475    529  34.18  47.89
    475    530  34.17  47.97
    475    531  34.17  48.06
    475    532  34.16  48.14
    475    533  34.16  48.22
    475    534  34.15  48.31
    475    535  34.15  48.39
    475    536  34.14  48.47
    475    537  34.14  48.55
    475    538  34.13  48.64
    475    539  34.13  48.72
    475    540  34.12  48.80
    475    541  34.12  48.88
    475    542  34.11  48.96
    475    543  34.11  49.04
    475    544  34.10  49.13
    475    545  34.10  49.21
    475    546  34.09  49.29
    475    547  34.09  49.37
    475    548  34.08  49.45
    475    549  34.08  49.53
    475    550  34.07  49.61
    476    451  34.58  40.83
    476    452  34.58  40.93
    476    453  34.57  41.03
    476    454  34.56  41.13
    476    455  34.56  41.23
    476    456  34.55  41.33
    476    457  34.54  41.43
    476    458  34.53  41.52
    476    459  34.53  41.62
    476    460  34.52  41.72
    476    461  34.51  41.82
    476    462  34.51  41.92
    476    463  34.50  42.01
    476    464  34.49  42.11
    476    465  34.49  42.21
    476    466  34.48  42.30
    476    467  34.47  42.40
    476    468  34.47  42.50
    476    469  34.46  42.59
    476    470  34.45  42.69
    476    471  34.45  42.78
    476    472  34.44  42.88
    476    473  34.44  42.97
    476    474  34.43  43.07
    476    475  34.42  43.16
    476    476  34.42  43.25
    476    477  34.41  43.35
    476    478  34.40  43.44
    476    479  34.40  43.54
    476    480  34.39  43.63
    476    481  34.38  43.72
    476    482  34.38  43.81
    476    483  34.37  43.91
    476    484  34.37  44.00
    476    485  34.36  44.09
    476    486  34.35  44.18
    476    487  34.35  44.27
    476    488  34.34  44.36
    476    489  34.34  44.45
    476    490  34.33  44.55
    476    491  34.32  44.64
    476    492  34.32  44.73
    476    493  34.31  44.82
    476    494  34.31  44.91
    476    495  34.30  45.00
    476    496  34.29  45.09
    476    497  34.29  45.18
    476    498  34.28  45.26
    476    499  34.28  45.35
    476    500  34.27  45.44
    476    501  34.27  45.53
    476    502  34.26  45.62
    476    503  34.25  45.71
    476    504  34.25  45.79
    476    505  34.24  45.88
    476    506  34.24  45.97
    476    507  34.23  46.06
    476    508  34.23  46.14
    476    509  34.22  46.23
    476    510  34.21  46.32
    476    511  34.21  46.40
    476    512  34.20  46.49
    476    513  34.20  46.58
    476    514  34.19  46.66
    476    515  34.19  46.75
    476    516  34.18  46.83
    476    517  34.18  46.92
    476    518  34.17  47.01
    476    519  34.17  47.09
    476    520  34.16  47.18
    476    521  34.15  47.26
    476    522  34.15  47.34
    476    523  34.14  47.43
    476    524  34.14  47.51
    476    525  34.13  47.60
    476    526  34.13  47.68
    476    527  34.12  47.77
    476    528  34.12  47.85
    476    529  34.11  47.93
    476    530  34.11  48.02
    476    531  34.10  48.10
    476    532  34.10  48.18
    476    533  34.09  48.26
    476    534  34.09  48.35
    476    535  34.08  48.43
    476    536  34.08  48.51
    476    537  34.07  48.59
    476    538  34.07  48.68
    476    539  34.06  48.76
    476    540  34.06  48.84
    476    541  34.05  48.92
    476    542  34.05  49.00
    476    543  34.04  49.08
    476    544  34.04  49.17
    476    545  34.03  49.25
    476    546  34.03  49.33
    476    547  34.02  49.41
    476    548  34.02  49.49
    476    549  34.01  49.57
    476    550  34.01  49.65
    477    451  34.52  40.88
    477    452  34.51  40.98
    477    453  34.50  41.08
    477    454  34.50  41.18
    477    455  34.49  41.28
    477    456  34.48  41.38
    477    457  34.48  41.48
    477    458  34.47  41.58
    477    459  34.46  41.68
    477    460  34.46  41.78
    477    461  34.45  41.87
    477    462  34.44  41.97
    477    463  34.43  42.07
    477    464  34.43  42.16
    477    465  34.42  42.26
    477    466  34.42  42.36
    477    467  34.41  42.45
    477    468  34.40  42.55
    477    469  34.40  42.64
    477    470  34.39  42.74
    477    471  34.38  42.83
    477    472  34.38  42.93
    477    473  34.37  43.02
    477    474  34.36  43.12
    477    475  34.36  43.21
    477    476  34.35  43.31
    477    477  34.34  43.40
    477    478  34.34  43.49
    477    479  34.33  43.59
    477    480  34.33  43.68
    477    481  34.32  43.77
    477    482  34.31  43.86
    477    483  34.31  43.96
    477    484  34.30  44.05
    477    485  34.29  44.14
    477    486  34.29  44.23
    477    487  34.28  44.32
    477    488  34.28  44.41
    477    489  34.27  44.50
    477    490  34.26  44.59
    477    491  34.26  44.68
    477    492  34.25  44.77
    477    493  34.25  44.86
    477    494  34.24  44.95
    477    495  34.23  45.04
    477    496  34.23  45.13
    477    497  34.22  45.22
    477    498  34.22  45.31
    477    499  34.21  45.40
    477    500  34.21  45.49
    477    501  34.20  45.58
    477    502  34.19  45.66
    477    503  34.19  45.75
    477    504  34.18  45.84
    477    505  34.18  45.93
    477    506  34.17  46.01
    477    507  34.17  46.10
    477    508  34.16  46.19
    477    509  34.16  46.28
    477    510  34.15  46.36
    477    511  34.14  46.45
    477    512  34.14  46.53
    477    513  34.13  46.62
    477    514  34.13  46.71
    477    515  34.12  46.79
    477    516  34.12  46.88
    477    517  34.11  46.96
    477    518  34.11  47.05
    477    519  34.10  47.13
    477    520  34.10  47.22
    477    521  34.09  47.30
    477    522  34.09  47.39
    477    523  34.08  47.47
    477    524  34.07  47.56
    477    525  34.07  47.64
    477    526  34.06  47.72
    477    527  34.06  47.81
    477    528  34.05  47.89
    477    529  34.05  47.97
    477    530  34.04  48.06
    477    531  34.04  48.14
    477    532  34.03  48.22
    477    533  34.03  48.31
    477    534  34.02  48.39
    477    535  34.02  48.47
    477    536  34.01  48.55
    477    537  34.01  48.63
    477    538  34.00  48.72
    477    539  34.00  48.80
    477    540  33.99  48.88
    477    541  33.99  48.96
    477    542  33.98  49.04
    477    543  33.98  49.12
    477    544  33.97  49.20
    477    545  33.97  49.29
    477    546  33.96  49.37
    477    547  33.96  49.45
    477    548  33.95  49.53
    477    549  33.95  49.61
