纬度 经度 角度(北顺) 速度(m/s) 压强(毫巴)
5.00 107.00 102.29 7.35 381.63
5.00 108.00 101.14 10.05 477.18
5.00 109.00 101.10 12.14 522.95
5.00 110.00 101.68 13.60 307.19
5.00 111.00 106.59 11.26 256.36
5.00 112.00 108.98 11.31 207.25
5.00 113.00 101.41 6.76 519.05
5.00 114.00 110.97 5.15 738.67
5.00 120.00 103.97 9.08 543.73
5.00 121.00 82.08 22.66 185.34
5.00 122.00 71.59 16.99 -1.26
5.00 123.00 66.23 4.33 150.91
5.00 124.00 79.61 6.35 117.09
5.00 125.00 108.66 7.48 210.47
5.00 126.00 105.23 11.44 211.80
4.00 63.00 40.49 4.68 354.01
4.00 81.00 160.95 3.92 234.38
4.00 85.00 97.92 4.99 574.59
4.00 89.00 72.52 6.91 460.50
4.00 91.00 74.51 7.37 535.23
4.00 92.00 75.23 7.43 155.28
4.00 93.00 57.18 8.48 175.74
4.00 94.00 41.93 6.03 506.26
4.00 95.00 101.03 6.40 386.66
4.00 96.00 99.24 8.46 510.42
4.00 97.00 101.72 7.46 302.67
4.00 98.00 117.10 9.84 202.19
4.00 99.00 123.61 8.45 239.18
4.00 100.00 121.94 9.22 414.19
4.00 101.00 121.83 9.66 320.73
4.00 102.00 123.16 9.74 219.98
4.00 103.00 109.76 8.18 181.32
4.00 104.00 91.84 6.74 642.03
4.00 105.00 93.37 8.19 646.62
4.00 106.00 94.81 9.11 620.99
4.00 107.00 99.71 6.39 209.49
4.00 108.00 98.65 9.17 653.32
4.00 109.00 112.16 12.01 385.58
4.00 110.00 117.39 10.62 621.46
4.00 111.00 127.11 8.72 426.21
4.00 112.00 129.20 8.92 358.50
4.00 113.00 91.83 9.61 503.67
4.00 114.00 99.07 4.64 706.50
4.00 115.00 72.47 5.73 734.87
4.00 119.00 89.74 13.36 786.15
4.00 121.00 80.05 11.59 224.96
4.00 122.00 74.80 17.01 167.80
4.00 123.00 67.38 17.88 189.50
4.00 124.00 72.60 11.51 210.70
4.00 125.00 64.87 13.80 202.70
4.00 126.00 78.80 12.54 166.46
3.00 80.00 151.81 7.87 442.98
3.00 81.00 168.30 4.15 208.32
3.00 86.00 72.32 5.58 257.11
3.00 88.00 75.08 6.54 670.50
3.00 89.00 76.22 6.98 377.60
3.00 90.00 44.81 6.23 230.97
3.00 91.00 46.90 6.40 199.81
3.00 93.00 48.56 6.41 471.89
3.00 94.00 47.85 6.21 649.85
3.00 95.00 102.25 7.11 274.71
3.00 96.00 104.46 6.47 345.73
3.00 97.00 119.16 9.29 397.92
3.00 98.00 115.64 10.75 198.34
3.00 99.00 120.79 9.37 193.53
3.00 100.00 129.50 7.79 190.22
3.00 101.00 128.38 8.25 298.48
3.00 102.00 110.86 6.99 427.83
3.00 103.00 113.76 6.64 329.47
3.00 104.00 90.37 8.16 469.59
3.00 105.00 92.26 6.67 273.70
3.00 106.00 93.55 7.65 388.23
3.00 107.00 94.99 8.04 248.62
3.00 108.00 96.89 7.80 349.45
3.00 109.00 120.77 7.85 173.82
3.00 110.00 110.38 12.23 98.70
3.00 111.00 116.53 10.16 129.70
3.00 112.00 117.75 10.35 247.54
3.00 113.00 121.28 9.85 226.84
3.00 114.00 147.65 6.45 567.59
3.00 115.00 123.55 5.24 721.87
3.00 120.00 97.69 12.31 453.76
3.00 121.00 86.47 14.55 648.80
3.00 122.00 87.48 11.84 691.15
3.00 123.00 75.58 12.25 507.16
3.00 124.00 62.36 12.02 184.54
3.00 125.00 66.55 13.10 263.04
3.00 126.00 68.26 13.06 281.60
2.00 75.00 140.85 6.36 517.37
2.00 76.00 130.96 7.39 472.63
2.00 77.00 148.53 8.86 615.55
2.00 78.00 166.92 4.81 554.13
2.00 79.00 154.59 8.21 501.34
2.00 81.00 163.39 1.80 449.64
2.00 82.00 157.38 1.83 221.62
2.00 92.00 53.01 6.41 702.87
2.00 93.00 53.56 6.41 527.00
2.00 94.00 79.05 5.08 424.08
2.00 95.00 112.32 4.97 367.39
2.00 96.00 116.35 4.41 344.42
2.00 97.00 124.02 3.65 303.44
2.00 98.00 105.76 7.80 264.42
2.00 99.00 110.54 6.32 194.93
2.00 100.00 108.73 7.21 368.80
2.00 101.00 108.25 7.74 329.64
2.00 102.00 108.87 7.86 580.06
2.00 103.00 110.73 7.54 388.26
2.00 104.00 89.91 6.18 585.03
2.00 105.00 90.91 7.75 266.47
2.00 106.00 91.72 8.79 547.41
2.00 107.00 91.89 12.31 705.36
2.00 108.00 102.52 15.59 295.16
2.00 109.00 103.82 14.86 155.86
2.00 110.00 119.79 7.54 148.83
2.00 111.00 98.31 7.54 202.73
2.00 112.00 106.65 4.49 189.93
2.00 113.00 112.62 3.85 245.67
2.00 114.00 107.53 5.55 556.09
2.00 115.00 116.32 10.64 653.59
2.00 116.00 117.20 10.79 683.12
2.00 120.00 79.11 14.80 591.52
2.00 121.00 78.93 13.33 188.77
2.00 122.00 80.71 14.43 685.87
2.00 125.00 66.89 11.42 216.76
2.00 126.00 68.27 11.43 450.15
1.00 71.00 161.95 2.80 589.54
1.00 75.00 124.30 4.35 208.68
1.00 77.00 149.20 2.75 413.32
1.00 92.00 84.08 5.31 645.45
1.00 95.00 138.53 3.10 480.02
1.00 96.00 118.86 4.89 426.93
1.00 97.00 111.02 6.69 315.11
1.00 98.00 107.16 8.27 329.50
1.00 99.00 111.42 6.82 231.49
1.00 100.00 109.19 7.73 233.17
1.00 101.00 108.28 8.28 375.34
1.00 102.00 108.41 8.42 316.47
1.00 103.00 88.98 4.68 279.96
1.00 104.00 126.50 4.70 449.73
1.00 105.00 90.52 5.38 621.90
1.00 106.00 91.07 6.42 768.64
1.00 108.00 91.58 9.82 377.20
1.00 109.00 92.25 9.00 398.81
1.00 110.00 81.97 17.20 269.60
1.00 111.00 78.75 11.84 315.54
1.00 112.00 96.80 5.29 363.65
1.00 113.00 99.03 4.61 719.89
1.00 114.00 97.37 6.40 618.44
1.00 115.00 117.44 8.19 686.24
1.00 116.00 117.94 8.29 687.40
1.00 122.00 84.31 11.84 362.16
1.00 123.00 84.89 11.82 470.39
1.00 126.00 73.61 12.72 634.37
0.00 69.00 270.00 7.00 476.52
0.00 70.00 270.00 4.87 676.53
0.00 72.00 127.31 4.62 607.78
0.00 73.00 123.89 5.02 707.67
0.00 77.00 90.00 1.29 662.41
0.00 89.00 111.62 7.56 666.84
0.00 94.00 138.09 3.75 514.07
0.00 95.00 90.00 4.99 693.68
0.00 96.00 90.00 4.40 395.08
0.00 98.00 90.00 2.30 277.96
0.00 99.00 90.00 6.50 215.81
0.00 100.00 121.52 5.35 208.86
0.00 101.00 118.72 5.83 154.35
0.00 102.00 90.00 8.18 199.83
0.00 105.00 135.17 7.93 657.62
0.00 106.00 174.57 5.66 604.72
0.00 108.00 126.34 4.76 435.75
0.00 109.00 106.96 9.69 659.66
0.00 110.00 78.66 14.39 509.48
0.00 111.00 90.00 11.89 426.43
0.00 112.00 107.82 9.28 341.73
0.00 113.00 120.21 5.65 506.71
0.00 114.00 113.05 7.27 651.95
0.00 115.00 123.82 5.13 634.14
0.00 116.00 123.70 5.15 439.61
0.00 117.00 129.83 8.94 625.94
-1.00 69.00 292.38 7.33 150.45
-1.00 70.00 289.62 8.11 641.85
-1.00 72.00 102.17 0.93 331.37
-1.00 73.00 100.06 1.43 422.09
-1.00 74.00 97.39 2.33 588.87
-1.00 75.00 131.35 4.75 710.57
-1.00 76.00 99.51 2.36 568.70
-1.00 93.00 121.68 6.31 614.62
-1.00 94.00 95.43 5.26 544.95
-1.00 95.00 93.47 7.74 195.79
-1.00 101.00 92.34 4.95 222.21
-1.00 102.00 62.15 5.69 227.00
-1.00 103.00 70.38 8.11 191.54
-1.00 104.00 91.02 0.79 155.68
-1.00 105.00 147.08 10.00 169.17
-1.00 106.00 177.49 8.33 216.69
-1.00 107.00 174.72 8.29 634.19
-1.00 108.00 176.32 8.21 621.67
-1.00 109.00 152.62 5.96 507.65
-1.00 110.00 86.61 7.47 441.47
-1.00 111.00 87.41 11.60 308.21
-1.00 112.00 133.61 7.33 430.85
-1.00 113.00 122.10 9.35 329.17
-1.00 117.00 138.61 9.93 478.99
-1.00 118.00 147.75 8.69 713.80
-1.00 119.00 144.14 8.95 687.68
-1.00 120.00 166.13 4.39 658.39
-2.00 61.00 125.04 2.68 250.45
-2.00 62.00 128.28 2.77 509.29
-2.00 70.00 290.73 7.54 468.65
-2.00 72.00 104.43 1.45 494.81
-2.00 77.00 233.67 1.40 398.70
-2.00 91.00 128.39 6.27 718.35
-2.00 92.00 126.99 6.41 690.09
-2.00 94.00 97.07 7.87 707.38
-2.00 95.00 83.28 16.03 621.02
-2.00 97.00 76.91 8.97 536.92
-2.00 98.00 110.55 1.90 278.46
-2.00 102.00 99.16 1.59 384.12
-2.00 103.00 69.27 7.54 373.83
-2.00 104.00 131.16 4.28 378.71
-2.00 105.00 167.67 8.51 355.70
-2.00 106.00 165.55 11.36 -0.47
-2.00 107.00 163.45 11.33 -0.48
-2.00 108.00 159.54 8.42 689.84
-2.00 111.00 136.50 6.31 362.18
-2.00 112.00 134.91 6.23 416.11
-2.00 113.00 121.15 8.16 535.74
-2.00 117.00 162.71 6.57 469.15
-2.00 118.00 150.06 7.01 642.58
-2.00 120.00 147.89 6.66 628.24
-2.00 121.00 160.78 5.73 515.11
-3.00 52.00 146.83 0.97 718.52
-3.00 54.00 159.02 4.69 415.26
-3.00 62.00 158.57 1.18 279.63
-3.00 63.00 139.86 1.77 504.19
-3.00 93.00 106.90 5.00 638.38
-3.00 94.00 127.95 2.23 420.10
-3.00 98.00 129.19 1.47 467.63
-3.00 99.00 108.63 2.47 441.71
-3.00 100.00 156.61 0.69 464.92
-3.00 101.00 167.28 3.37 409.91
-3.00 102.00 166.90 3.20 332.92
-3.00 103.00 92.27 3.16 403.73
-3.00 104.00 89.63 8.16 219.13
-3.00 105.00 87.74 6.67 194.41
-3.00 110.00 123.73 2.47 465.99
-3.00 111.00 111.59 3.01 502.11
-3.00 112.00 106.63 2.91 394.26
-3.00 116.00 168.06 5.48 606.87
-3.00 117.00 155.15 8.74 318.45
-3.00 118.00 168.01 7.77 689.73
-3.00 119.00 164.06 7.57 387.91
-3.00 120.00 161.57 4.28 356.71
-3.00 121.00 137.81 5.02 496.69
-4.00 53.00 143.57 2.95 291.74
-4.00 61.00 64.73 6.72 238.15
-4.00 62.00 66.98 6.38 509.76
-4.00 63.00 56.79 3.87 284.81
-4.00 67.00 2.81 3.64 239.35
-4.00 84.00 187.68 7.73 474.79
-4.00 95.00 114.21 3.82 486.08
-4.00 96.00 104.45 5.73 420.97
-4.00 99.00 123.93 1.63 471.63
-4.00 100.00 67.26 5.39 648.95
-4.00 101.00 66.71 5.81 521.30
-4.00 103.00 90.70 1.82 401.46
-4.00 106.00 58.77 6.95 352.15
-4.00 107.00 6.41 1.12 381.21
-4.00 108.00 63.47 3.16 552.84
-4.00 110.00 175.31 0.74 696.33
-4.00 111.00 118.44 0.81 595.76
-4.00 116.00 154.26 4.62 173.46
-4.00 117.00 167.16 3.83 197.59
-4.00 118.00 145.84 3.99 445.49
-4.00 119.00 154.19 6.38 264.23
-4.00 120.00 158.20 5.70 498.27
-4.00 121.00 176.51 4.83 497.96
-5.00 52.00 93.07 0.33 212.88
-5.00 68.00 38.65 4.76 682.17
-5.00 82.00 167.77 8.02 704.38
-5.00 83.00 187.23 7.98 328.26
-5.00 84.00 185.67 8.01 369.88
-5.00 85.00 248.37 6.52 551.96
-5.00 86.00 230.65 3.82 661.04
-5.00 99.00 57.03 3.47 489.13
-5.00 101.00 52.11 8.48 400.17
-5.00 102.00 53.53 4.54 377.51
-5.00 104.00 67.07 8.48 300.88
-5.00 105.00 59.16 7.14 355.52
-5.00 106.00 72.95 4.12 366.77
-5.00 107.00 68.85 4.39 615.90
-5.00 109.00 99.53 2.61 651.55
-5.00 110.00 163.96 2.96 695.97
-5.00 111.00 150.22 2.77 588.00
-5.00 114.00 101.54 5.07 543.30
-5.00 115.00 95.25 5.65 442.41
-5.00 116.00 117.24 6.26 155.51
-5.00 117.00 106.64 8.22 632.10
-5.00 118.00 153.51 5.19 521.58
-5.00 119.00 147.53 4.85 224.19
-5.00 120.00 152.59 3.97 377.38
-5.00 121.00 90.90 3.45 398.21
-6.00 51.00 98.37 1.00 691.83
-6.00 71.00 79.80 1.22 634.71
-6.00 82.00 156.23 5.63 217.44
-6.00 83.00 212.68 6.24 143.50
-6.00 84.00 247.46 6.54 185.33
-6.00 85.00 246.55 6.42 510.77
-6.00 86.00 228.36 3.88 329.15
-6.00 87.00 226.18 3.72 398.61
-6.00 88.00 224.26 3.57 633.64
-6.00 91.00 167.60 2.41 516.19
-6.00 93.00 179.28 2.09 705.76
-6.00 95.00 216.02 2.14 581.27
-6.00 98.00 62.08 3.75 398.46
-6.00 99.00 64.34 4.69 413.35
-6.00 100.00 56.01 9.18 417.58
-6.00 101.00 41.42 7.30 333.62
-6.00 102.00 56.99 5.51 312.84
-6.00 103.00 63.81 7.60 423.31
-6.00 104.00 52.16 10.69 399.70
-6.00 105.00 58.36 7.92 480.25
-6.00 106.00 58.19 8.70 400.00
-6.00 108.00 96.77 0.91 465.12
-6.00 109.00 130.48 3.81 784.69
-6.00 110.00 115.82 4.53 585.10
-6.00 111.00 107.68 4.78 698.52
-6.00 115.00 111.06 5.62 321.94
-6.00 116.00 99.75 8.46 368.15
-6.00 117.00 94.44 10.60 317.84
-6.00 118.00 91.02 8.32 256.75
-6.00 119.00 105.02 9.11 382.14
-6.00 120.00 101.78 8.17 355.79
-6.00 124.00 73.77 4.57 622.82
-7.00 51.00 58.11 4.21 647.27
-7.00 72.00 84.06 3.06 303.23
-7.00 73.00 29.79 6.45 249.37
-7.00 74.00 12.71 2.46 689.07
-7.00 84.00 229.59 3.81 406.35
-7.00 85.00 246.05 6.21 442.69
-7.00 86.00 228.00 3.81 342.73
-7.00 87.00 272.66 5.55 286.21
-7.00 88.00 272.99 5.51 270.36
-7.00 89.00 227.63 3.66 357.55
-7.00 90.00 229.33 3.65 273.78
-7.00 91.00 183.43 2.29 312.36
-7.00 93.00 242.32 4.22 667.43
-7.00 96.00 211.94 1.56 737.36
-7.00 99.00 65.87 5.76 665.99
-7.00 101.00 61.47 6.45 537.77
-7.00 102.00 56.28 6.28 367.79
-7.00 103.00 46.79 9.84 600.59
-7.00 104.00 38.55 9.22 667.29
-7.00 105.00 55.05 8.44 425.22
-7.00 106.00 29.36 2.94 467.86
-7.00 111.00 94.38 3.88 399.95
-7.00 114.00 108.16 3.76 321.56
-7.00 115.00 96.88 3.97 375.83
-7.00 116.00 89.06 10.33 182.82
-7.00 117.00 84.06 8.97 186.62
-7.00 118.00 80.52 10.19 371.67
-7.00 119.00 76.42 10.47 512.39
-7.00 120.00 104.35 10.13 358.06
-7.00 121.00 98.49 11.64 354.74
-7.00 122.00 94.23 12.16 595.63
-7.00 123.00 100.76 16.07 623.81
-7.00 124.00 84.96 9.76 312.29
-8.00 71.00 66.60 3.59 764.25
-8.00 72.00 79.99 5.65 769.30
-8.00 73.00 58.23 6.41 632.61
-8.00 77.00 110.11 2.59 460.69
-8.00 79.00 242.80 3.15 606.74
-8.00 82.00 223.88 2.77 299.85
-8.00 83.00 277.75 5.06 542.24
-8.00 84.00 276.43 5.28 426.75
-8.00 85.00 275.61 5.43 501.82
-8.00 86.00 273.46 8.33 500.05
-8.00 87.00 280.07 2.89 194.55
-8.00 88.00 280.29 3.01 256.83
-8.00 89.00 330.56 0.69 275.41
-8.00 90.00 320.13 0.91 225.39
-8.00 91.00 204.13 2.19 377.12
-8.00 98.00 44.73 7.55 679.58
-8.00 115.00 106.35 5.80 543.78
-8.00 116.00 75.91 8.32 480.09
-8.00 117.00 90.18 10.25 546.16
-8.00 118.00 83.51 7.70 341.67
-8.00 119.00 76.89 7.78 694.70
-8.00 120.00 75.37 10.46 398.65
-8.00 121.00 100.36 12.53 216.50
-8.00 122.00 95.87 12.84 172.31
-8.00 123.00 91.57 12.03 312.56
-8.00 124.00 86.06 10.06 417.08
-8.00 125.00 81.07 10.88 202.82
-9.00 67.00 124.23 6.66 491.01
-9.00 74.00 66.92 2.33 667.22
-9.00 77.00 99.47 1.43 494.06
-9.00 82.00 289.29 4.05 168.37
-9.00 84.00 282.92 4.90 571.45
-9.00 89.00 323.53 1.38 318.53
-9.00 90.00 286.71 4.23 299.33
-9.00 91.00 286.48 4.79 404.93
-9.00 103.00 22.70 3.15 745.45
-9.00 107.00 190.09 0.29 598.25
-9.00 113.00 80.52 8.43 668.88
-9.00 115.00 88.41 9.61 586.76
-9.00 117.00 72.68 7.32 697.63
-9.00 118.00 89.04 11.61 486.51
-9.00 119.00 80.82 7.87 220.80
-9.00 120.00 77.52 10.36 600.75
-9.00 121.00 87.00 8.07 203.27
-9.00 122.00 79.74 8.35 273.05
-9.00 123.00 91.71 15.45 376.05
-9.00 124.00 99.25 13.95 530.06
-9.00 125.00 94.48 14.38 298.18
-9.00 126.00 101.61 14.40 289.66
-10.00 63.00 83.11 7.79 622.71
-10.00 64.00 89.29 11.23 624.10
-10.00 66.00 124.85 12.58 394.48
-10.00 67.00 145.35 6.30 220.93
-10.00 76.00 124.19 3.09 444.17
-10.00 77.00 41.80 0.94 373.10
-10.00 83.00 298.92 4.13 754.86
-10.00 86.00 288.30 5.62 615.89
-10.00 87.00 300.08 3.53 394.61
-10.00 89.00 324.33 2.34 573.46
-10.00 90.00 292.70 5.21 700.31
-10.00 91.00 291.30 5.98 533.62
-10.00 92.00 302.87 4.37 624.97
-10.00 118.00 90.84 11.18 681.08
-10.00 119.00 86.51 14.42 689.03
-10.00 120.00 77.17 9.48 681.99
-10.00 121.00 88.25 10.76 473.76
-10.00 122.00 81.98 10.85 276.97
-10.00 123.00 91.03 10.01 318.75
-10.00 124.00 114.80 18.77 706.37
-10.00 126.00 115.84 19.08 576.42
-11.00 51.00 106.41 2.73 686.62
-11.00 64.00 74.56 7.82 487.27
-11.00 65.00 81.77 8.40 321.07
-11.00 66.00 87.21 6.62 152.48
-11.00 72.00 12.30 1.68 482.51
-11.00 84.00 198.78 2.86 664.81
-11.00 85.00 270.77 4.47 492.10
-11.00 86.00 270.23 5.22 692.77
-11.00 87.00 270.43 3.16 484.28
-11.00 88.00 271.01 3.91 496.69
-11.00 89.00 274.56 1.92 463.07
-11.00 90.00 272.97 5.60 651.15
-11.00 117.00 95.26 16.75 561.02
-11.00 118.00 91.27 13.53 560.06
-11.00 119.00 98.49 13.48 530.69
-11.00 120.00 94.67 7.94 555.65
-11.00 122.00 96.51 9.01 644.83
-11.00 124.00 124.75 12.63 546.11
-11.00 125.00 128.62 14.11 504.76
-11.00 126.00 108.62 14.06 203.41
-12.00 63.00 59.65 4.96 418.31
-12.00 65.00 83.55 4.71 442.60
-12.00 66.00 50.26 8.43 189.01
-12.00 67.00 36.45 9.19 156.05
-12.00 72.00 63.46 1.28 519.81
-12.00 73.00 149.07 0.09 441.83
-12.00 74.00 105.75 2.36 703.29
-12.00 75.00 121.31 2.30 634.67
-12.00 90.00 294.82 4.10 588.16
-12.00 91.00 291.04 5.33 464.45
-12.00 92.00 288.68 6.72 523.72
-12.00 93.00 247.48 8.42 741.63
-12.00 116.00 89.59 20.34 677.19
-12.00 118.00 101.05 15.80 690.07
-12.00 119.00 106.98 15.84 427.11
-12.00 120.00 122.63 16.94 502.15
-12.00 121.00 138.03 18.38 663.95
-12.00 122.00 135.95 17.04 639.00
-12.00 123.00 141.97 17.50 586.68
-12.00 124.00 129.66 14.62 260.30
-12.00 126.00 114.90 15.11 655.31
-13.00 63.00 113.43 1.41 355.78
-13.00 65.00 58.06 5.95 348.86
-13.00 66.00 39.62 10.39 307.72
-13.00 67.00 35.56 8.62 199.42
-13.00 68.00 7.07 12.03 197.47
-13.00 72.00 42.10 3.74 485.16
-13.00 91.00 284.68 3.50 647.70
-13.00 92.00 278.37 7.94 630.62
-13.00 112.00 47.94 11.02 707.33
-13.00 118.00 98.76 16.41 598.32
-13.00 119.00 108.08 12.60 186.63
-13.00 120.00 126.93 18.93 516.26
-13.00 121.00 135.98 17.85 508.63
-13.00 122.00 149.47 16.57 664.12
-13.00 123.00 145.09 19.19 317.85
-13.00 124.00 151.22 16.10 437.99
-13.00 125.00 137.72 8.67 522.93
-13.00 126.00 131.54 11.80 515.73
-14.00 63.00 30.19 6.49 569.61
-14.00 64.00 74.33 5.50 662.36
-14.00 65.00 85.98 5.27 699.54
-14.00 66.00 52.16 8.35 611.29
-14.00 67.00 35.69 8.64 512.48
-14.00 69.00 69.73 6.12 703.36
-14.00 71.00 132.98 3.72 724.71
-14.00 72.00 96.28 3.76 646.44
-14.00 74.00 44.24 1.41 676.62
-14.00 82.00 144.73 3.23 731.47
-14.00 101.00 39.34 3.12 601.51
-14.00 117.00 90.54 15.98 489.23
-14.00 118.00 95.65 16.15 195.18
-14.00 119.00 133.83 12.67 368.14
-14.00 120.00 133.30 14.90 117.38
-14.00 121.00 150.21 16.83 -2.33
-14.00 122.00 150.78 14.83 -2.74
-14.00 123.00 158.75 15.32 -2.91
-14.00 124.00 151.16 10.87 292.91
-14.00 125.00 150.94 8.86 306.69
-14.00 126.00 142.15 11.43 306.92
-15.00 63.00 23.08 3.60 658.71
-15.00 68.00 21.27 0.45 679.28
-15.00 72.00 92.96 5.55 736.06
-15.00 87.00 96.62 4.69 786.36
-15.00 116.00 68.97 15.11 700.57
-15.00 117.00 98.12 12.43 494.50
-15.00 118.00 115.52 14.09 293.30
-15.00 119.00 122.66 13.70 129.60
-15.00 120.00 110.02 17.03 -2.59
-15.00 121.00 113.33 17.95 -2.93
-15.00 122.00 208.99 2.25 -3.47
-15.00 123.00 181.40 0.19 -3.93
-15.00 124.00 250.32 3.64 -2.94
-15.00 125.00 138.54 7.54 259.25
-15.00 126.00 147.46 4.39 247.87
-16.00 51.00 70.79 0.67 647.21
-16.00 97.00 141.26 3.67 773.95
-16.00 117.00 78.66 14.03 445.36
-16.00 118.00 95.91 13.87 178.15
-16.00 120.00 93.94 12.73 -3.91
-16.00 124.00 237.40 3.43 158.16
-16.00 125.00 174.54 3.07 173.63
-17.00 97.00 147.48 2.37 749.63
-17.00 98.00 103.35 5.64 719.09
-17.00 117.00 66.51 12.42 425.88
-17.00 118.00 85.69 11.06 280.72
-17.00 119.00 91.59 12.76 310.90
-17.00 120.00 83.37 12.90 -3.94
-17.00 121.00 48.76 5.66 -5.24
-17.00 126.00 171.05 0.97 420.97
-18.00 47.00 50.88 4.35 708.97
-18.00 85.00 105.73 4.66 795.38
-18.00 93.00 120.43 5.69 747.86
-18.00 94.00 120.78 4.71 756.03
-18.00 117.00 46.39 11.30 595.50
-18.00 118.00 72.28 11.53 245.79
-18.00 119.00 65.05 12.85 294.37
-18.00 120.00 80.40 9.09 140.46
-18.00 121.00 73.07 11.81 109.32
-18.00 122.00 42.33 11.88 246.55
-18.00 123.00 31.23 9.44 124.05
-18.00 124.00 32.29 8.52 284.30
-18.00 126.00 359.16 5.83 300.59
-19.00 91.00 75.15 4.19 751.10
-19.00 92.00 65.40 3.45 763.01
-19.00 118.00 42.58 9.56 347.82
-19.00 119.00 50.79 9.45 553.43
-19.00 120.00 38.23 10.44 261.42
-19.00 121.00 51.94 11.53 292.37
-19.00 122.00 23.37 7.26 477.69
-19.00 123.00 14.73 9.33 207.08
-19.00 124.00 10.75 8.44 158.95
-19.00 125.00 6.90 4.47 282.30
-19.00 126.00 22.05 3.95 480.12
-20.00 82.00 124.40 4.21 761.04
-20.00 84.00 126.07 4.94 752.80
-20.00 85.00 92.20 2.91 677.76
-20.00 117.00 29.40 13.79 628.18
-20.00 118.00 21.73 12.07 610.02
-20.00 119.00 5.62 10.55 359.69
-20.00 120.00 24.64 10.35 624.74
-20.00 121.00 7.88 12.04 534.71
-20.00 122.00 45.85 10.78 460.06
-20.00 123.00 28.44 8.05 454.79
-20.00 124.00 22.51 7.00 675.20
-20.00 125.00 1.61 5.97 468.32
-20.00 126.00 7.42 5.37 487.16
-21.00 83.00 124.94 4.68 775.53
-21.00 118.00 129.84 9.57 691.56
-21.00 119.00 10.06 12.21 468.67
-21.00 122.00 20.28 10.32 654.35
-21.00 123.00 19.28 9.59 428.12
-21.00 124.00 9.99 8.70 519.22
-21.00 125.00 41.43 6.09 575.30
-21.00 126.00 46.10 5.80 379.45
-22.00 48.00 272.44 11.80 528.75
-22.00 49.00 273.23 14.75 497.17
-22.00 50.00 274.40 16.45 696.14
-22.00 54.00 295.26 9.60 648.40
-22.00 90.00 172.43 2.18 846.76
-22.00 98.00 127.32 5.48 751.68
-22.00 118.00 117.54 9.09 554.17
-22.00 123.00 15.95 8.78 627.16
-22.00 124.00 30.53 8.96 677.95
-22.00 125.00 71.42 11.27 481.56
-22.00 126.00 87.84 7.50 297.82
-23.00 47.00 295.46 8.12 616.42
-23.00 48.00 295.40 8.84 322.87
-23.00 49.00 299.51 8.55 661.24
-23.00 89.00 104.32 4.02 801.82
-23.00 90.00 100.15 4.28 821.53
-23.00 95.00 137.96 1.75 770.09
-23.00 96.00 169.03 3.79 774.51
-23.00 117.00 115.04 9.49 588.39
-23.00 124.00 101.66 9.95 758.12
-23.00 125.00 80.25 5.05 593.04
-23.00 126.00 82.59 4.33 657.13
-24.00 48.00 298.49 9.37 250.09
-24.00 49.00 318.34 15.00 323.34
-24.00 56.00 297.73 11.01 626.67
-24.00 57.00 285.38 10.32 490.19
-24.00 88.00 121.08 10.11 803.64
-24.00 89.00 109.88 5.89 781.21
-24.00 95.00 150.77 6.28 818.20
-24.00 102.00 140.52 5.62 753.46
-24.00 124.00 101.41 6.59 639.98
-24.00 126.00 82.57 8.41 612.07
-25.00 48.00 309.19 9.42 373.94
-25.00 49.00 287.72 9.30 545.46
-25.00 51.00 282.61 14.43 602.72
-25.00 53.00 290.30 11.88 692.66
-25.00 55.00 293.36 12.95 604.63
-25.00 56.00 285.36 10.32 641.32
-25.00 58.00 287.85 13.08 709.15
-25.00 85.00 176.28 12.45 569.51
-25.00 91.00 129.25 7.65 826.61
-25.00 94.00 92.91 2.31 873.66
-25.00 98.00 142.46 7.76 768.05
-25.00 99.00 134.79 7.11 768.97
-25.00 100.00 127.32 6.27 719.21
-25.00 101.00 160.97 6.22 712.31
-25.00 102.00 165.56 4.64 722.49
-25.00 103.00 150.26 7.16 940.84
-25.00 117.00 40.93 0.17 721.04
-25.00 118.00 35.88 3.27 708.41
-26.00 49.00 303.88 8.83 641.02
-26.00 50.00 282.70 8.47 675.67
-26.00 51.00 313.33 8.09 628.05
-26.00 52.00 295.68 12.49 535.42
-26.00 53.00 296.13 13.08 721.07
-26.00 54.00 298.96 12.88 527.41
-26.00 55.00 304.69 12.04 557.44
-26.00 56.00 288.53 12.74 542.81
-26.00 58.00 293.91 13.25 564.98
-26.00 79.00 142.28 7.43 681.22
-26.00 85.00 168.68 8.96 687.49
-26.00 89.00 130.00 7.85 770.71
-26.00 92.00 128.96 6.26 744.29
-26.00 95.00 132.82 7.59 737.10
-26.00 97.00 132.71 4.98 863.60
-26.00 102.00 129.01 5.83 751.99
-26.00 103.00 130.33 8.35 719.72
-26.00 118.00 38.42 1.32 532.00
-27.00 48.00 296.52 9.45 720.10
-27.00 52.00 308.07 13.10 646.43
-27.00 55.00 296.81 12.89 305.11
-27.00 56.00 303.40 11.74 450.40
-27.00 58.00 298.58 9.48 654.69
-27.00 59.00 294.47 12.23 725.73
-27.00 79.00 180.94 4.85 770.31
-27.00 80.00 174.66 5.58 792.13
-27.00 84.00 130.65 5.83 795.21
-27.00 85.00 125.47 6.82 757.00
-27.00 89.00 130.13 5.95 831.71
-27.00 94.00 104.13 5.81 852.79
-27.00 100.00 135.67 6.98 858.46
