纬度       经度      角度（北顺）   速度（米/秒）   压强 （毫巴）
-2         99        270.00          12.36         200.0 
-2        101        270.00           6.18         350.0 
-2        102         45.06          17.49         500.0 
-2        103         90.01          18.54         450.0 
-2        104        270.00           6.18         550.0 
-2        105        270.00           6.18         400.0 
-2        107        225.05           8.74         600.0 
-2        110        270.00          12.36          20.0 
-2        112        225.05           8.74          10.0 
-2        113        177.17           6.18           1.5 
-2        120        270.00          12.36         550.0 
-2        122        270.00          12.36         650.0 
-2        125        296.54          13.82         350.0 
-3         66         90.00           6.18         850.0 
-3         76        225.11           8.74         800.0 
-3         82        225.11           8.74         500.0 
-3         88        270.00           6.18         650.0 
-3         91          4.24           6.18         350.0 
-3         94        175.76           6.18         500.0 
-3         95        270.00           6.18         300.0 
-3         96        225.11           8.74         350.0 
-3         97        225.11           8.74         350.0 
-3         98        270.00           6.18          10.0 
-3         99        243.48          13.81         200.0 
-3        100        225.11           8.74         200.0 
-3        101        225.11           8.74         350.0 
-3        102        243.48          13.81         400.0 
-3        104        270.00           6.18         400.0 
-3        106        251.59          19.53         400.0 
-3        107        251.59          19.53         300.0 
-3        108        225.11           8.74           2.0 
-3        110        270.00           6.18          50.0 
-3        113        225.11           8.74           0.5 
-3        114          6.70          68.31         550.0 
-3        119        270.00           6.18         650.0 
-3        120        269.99          12.35         350.0 
-4         50        270.00           6.17         850.0 
-4         62        270.00           6.17         850.0 
-4         75        225.20           8.74         700.0 
-4         80        225.20          17.47         650.0 
-4         81        174.35           6.18         400.0 
-4         83        225.20          17.47         550.0 
-4         84        225.20           8.74         400.0 
-4         85         47.96          91.84         600.0 
-4         89        270.00           6.17         450.0 
-4         91        270.00           6.17         450.0 
-4         92        270.00           6.17           0.5 
-4         94        270.00           6.17         550.0 
-4         95        270.00           6.17         350.0 
-4         98        225.20           8.74           7.0 
-4         99        234.05          83.95           3.0 
-4        101        225.20           8.74           0.5 
-4        102        243.51          13.80           0.1 
-4        103         22.45          33.29           3.0 
-4        104        270.00           6.17         600.0 
-4        107        270.00           6.17           2.0 
-4        108        243.51          13.80         500.0 
-4        109        150.54          63.63         400.0 
-4        113        225.20           8.74         550.0 
-4        114        225.20          17.47         650.0 
-4        120         45.21           8.74         650.0 
-4        121        269.99          18.51         350.0 
-4        122        296.47          13.80         200.0 
-4        123        195.07          25.49          10.0 
-4        124        314.79           8.74         250.0 
-5         75        225.32           8.73         800.0 
-5         76        225.32           8.73         700.0 
-5         84        225.32           8.73           5.0 
-5         86        172.93           6.18         700.0 
-5         88        270.00           6.16         550.0 
-5         89        270.00           6.16           0.5 
-5         92        270.00           6.16         550.0 
-5         93        270.00           6.16         700.0 
-5         94        270.00           6.16         650.0 
-5         95        246.87          46.94         500.0 
-5         96          8.76          68.31         500.0 
-5         98        270.00           6.16           3.0 
-5        100        270.00           6.16         450.0 
-5        101        270.00           6.16           1.0 
-5        102        225.32           8.73           7.0 
-5        105        227.94          91.70         600.0 
-5        107        225.32           8.73         450.0 
-5        109        269.99          12.32         450.0 
-5        110        225.32           8.73         350.0 
-5        111        225.32           8.73         250.0 
-5        114        270.00           6.16         750.0 
-5        118        269.99          12.32         750.0 
-5        120        251.63          19.49         600.0 
-5        121        164.37          25.49          20.0 
-5        122        314.67           8.73         100.0 
-5        123        270.00           6.16          20.0 
-5        125        207.33          13.82          20.0 
-5        126        225.32           8.73           3.0 
-6         73        207.66          13.81         750.0 
-6         79        104.02          76.08         650.0 
-6         84        225.46           8.72         550.0 
-6         85        225.46           8.72         700.0 
-6         88        269.99           6.15         400.0 
-6         89        269.99           6.15         350.0 
-6         91        269.99           6.15         500.0 
-6         92        303.40          22.22         700.0 
-6         94        269.99          12.30         650.0 
-6         95        243.61          13.77         400.0 
-6         96        243.61          13.77         450.0 
-6         97        269.99           6.15         450.0 
-6        100        269.99           6.15         600.0 
-6        101        269.99          12.30         400.0 
-6        105        225.46           8.72         500.0 
-6        106        269.99           6.15         450.0 
-6        108        243.61          13.77         400.0 
-6        109        122.29          80.28           2.0 
-6        110        243.61          13.77         400.0 
-6        111        214.46          22.26         300.0 
-6        113        269.99           6.15           3.0 
-6        117         45.48          17.45         500.0 
-6        118        269.99           6.15          20.0 
-6        120        251.66          19.46         650.0 
-6        125        200.13          19.54         500.0 
-7         79        269.99           6.14         650.0 
-7         87        269.99           6.14           0.5 
-7         90        225.63           8.71         750.0 
-7         91        225.63           8.71         800.0 
-7         92        225.63           8.71         850.0 
-7         94        269.99           6.14         350.0 
-7         95        225.63           8.71         550.0 
-7         96        243.68          13.74         600.0 
-7         97        225.63           8.71         600.0 
-7         98        269.99           6.14         550.0 
-7        100        225.63           8.71         550.0 
-7        103        269.99           6.14         750.0 
-7        104        269.99           6.14         650.0 
-7        106        269.99           6.14         400.0 
-7        107        236.63          44.35         500.0 
-7        110        225.63           8.71          10.0 
-7        112        228.19          91.50         350.0 
-7        113        269.99          12.28           0.1 
-7        114        170.11           6.18           0.5 
-7        116        269.99           6.14         500.0 
-7        117        269.99           6.14         450.0 
-7        118        225.62          17.42         450.0 
-7        119        225.62          17.42         750.0 
-7        125        170.11           6.18         650.0 
-8         78        201.36          19.54         700.0 
-8         80        168.70           6.18         500.0 
-8         88        168.70           6.18         700.0 
-8         89        168.70           6.18         450.0 
-8         94        269.99           6.12         600.0 
-8         95        225.82           8.70         550.0 
-8         96        269.99           6.12         800.0 
-8         98         16.74          56.99         650.0 
-8        100        168.70           6.18         550.0 
-8        101        225.82           8.70         700.0 
-8        103        225.82           8.70         700.0 
-8        104        225.82           8.70         800.0 
-8        106        225.82           8.70         550.0 
-8        108        146.14          80.37           1.5 
-8        109        243.75          13.72          50.0 
-8        110        243.75          13.72          20.0 
-8        111        225.82           8.70          20.0 
-8        116        269.99          12.25         600.0 
-8        118        168.70          12.37         750.0 
-8        122        208.49          13.80         450.0 
-8        123        208.49          13.80         450.0 
-8        124         11.30          30.92         700.0 
-9         72         90.01           6.11         700.0 
-9         73         90.01           6.11         750.0 
-9         76         90.01           6.11         600.0 
-9         80        133.96           8.69         650.0 
-9         83        167.30           6.18         800.0 
-9         89        167.30           6.18         450.0 
-9         94        226.04           8.69         750.0 
-9         97        226.04           8.69         750.0 
-9         98        167.30           6.18         700.0 
-9         99        167.30           6.18         650.0 
-9        104        226.04           8.69         750.0 
-9        105        167.30           6.18         650.0 
-9        106        269.99           6.11         550.0 
-9        110        226.04           8.69           4.0 
-9        111        288.15          19.34           4.0 
-9        112        208.98          13.79         200.0 
-9        113        167.30           6.18           0.1 
-9        125        269.99           6.11         700.0 
-10         76        209.52          13.78         450.0 
-10         79        165.89          12.37         750.0 
-10         89        133.72           8.68         450.0 
-10         94         90.01           6.09         600.0 
-10         96        165.89           6.18         550.0 
-10         97        209.52          13.78         750.0 
-10        100        165.89           6.18         400.0 
-10        101        165.89           6.18         350.0 
-10        102        165.89           6.18         450.0 
-10        103        165.89           6.18         500.0 
-10        104        165.89           6.18         550.0 
-10        105        269.99           6.09         300.0 
-10        110        226.28           8.68         750.0 
-11         76         18.47          69.10         650.0 
-11         89        164.49           6.18         600.0 
-11         95        269.99           6.07         850.0 
-11         97        164.49           6.18         650.0 
-11         98        164.49           6.18         700.0 
-11         99        164.49           6.18         650.0 
-11        100        164.49           6.18           1.0 
-11        101        164.49           6.18         350.0 
-11        105        164.49           6.18         350.0 
-11        107        164.49           6.18         350.0 
-11        108        164.49           6.18         600.0 
-11        110        149.90          13.78         700.0 
-11        111        164.49          12.37         550.0 
-11        114        269.99           6.07         800.0 
-11        115        269.99           6.07         700.0 
-12         80        269.99           6.05         750.0 
-12         87        149.27          13.77         650.0 
-12         89        133.17           8.65         600.0 
-12         97        163.09           6.18           2.0 
-12         98        133.17           8.65         600.0 
-12        100        149.27          13.77         550.0 
-12        101        149.27          13.77         500.0 
-12        102        149.27          13.77         500.0 
-12        103        149.27          13.77         500.0 
-12        105        155.47          19.51         450.0 
-12        106        155.47          19.51         350.0 
-12        107        149.27          13.77         400.0 
-12        109        163.09           6.18         650.0 
-12        112        149.27          13.77         850.0 
-12        117        269.99           6.05         850.0 
-13         87         90.01           6.02         750.0 
-13         89        269.99           6.02         750.0 
-13         96        161.69           6.18         500.0 
-13         97        148.61          13.76           2.0 
-13         98        132.86           8.63         500.0 
-13         99        132.86           8.63         750.0 
-13        100        132.86           8.63         800.0 
-13        101        148.61          13.76         750.0 
-13        102        148.61          13.76         600.0 
-13        103        321.55          74.89         500.0 
-13        105        154.57          19.50         650.0 
-13        108        148.61          13.76         500.0 
-13        109        132.86           8.63         450.0 
-13        111        132.86           8.63         850.0 
-13        112        132.86           8.63         500.0 
-13        113        132.86           8.63         700.0 
-14        102        132.54          17.23         750.0 
-14        104        107.85          19.03         600.0 
-14        105        147.91          13.74         650.0 
-14        106        142.27          22.09         550.0 
-14        107        153.62          19.49         550.0 
-14        108        147.91          13.74         600.0 
-14        109        147.91          13.74         500.0 
-14        113        132.52           8.61         700.0 
-14        114         90.01           6.00         700.0 
-14        117        147.91          13.74         750.0 
-15         89        132.18          17.19         700.0 
-15        105        137.66          39.05         750.0 
-15        109        141.71          22.06         550.0 
-15        116        115.43          13.45         750.0 
-15        117        132.18          17.19         700.0 
-16         90         90.03          11.89         950.0 
-16        109         90.03          11.89         550.0 
-16        116        213.56          41.15         750.0 
-16        118        121.82          21.69         850.0 
-16        124        311.75           8.58         750.0 
-17         92        115.10          13.34         650.0 
-17        107        269.99           5.91         600.0 
-17        108         90.01           5.91         600.0 
-17        109        156.14           6.18         700.0 
-17        111         34.42          13.71         850.0 
-17        113        325.58          13.71         850.0 
-17        114         23.86           6.18         925.0 
-17        118        269.99           5.91         800.0 
-17        125         23.86           6.18         750.0 
-18         92        131.01          25.59         800.0 
-18         93         49.07           8.53         650.0 
-18         95         90.01           5.88         650.0 
-18        109         65.14          13.29         650.0 
-18        110        294.79          39.88         650.0 
-18        111         25.24           6.18         650.0 
-18        114         25.24           6.18         700.0 
-18        116        310.93           8.53         850.0 
-18        117        310.93           8.53         750.0 
-18        122         25.24           6.18         750.0 
-18        124         90.01           5.88         800.0 
-18        125         25.24           6.18         750.0 
-18        126         42.64          30.39         750.0 
-19         95         26.62          24.73         500.0 
-19         96         90.03          11.69         500.0 
-19         98        308.25          97.86         650.0 
-19        100         90.01           5.85         650.0 
-19        101        275.25          58.80         800.0 
-19        107         90.01           5.85         800.0 
-19        109         90.01           5.85         650.0 
-19        110         90.03          11.69         650.0 
-19        114         26.62           6.18         600.0 
-19        115         26.62           6.18         600.0 
-19        116         26.62           6.18         650.0 
-19        117        310.49           8.51         700.0 
-19        123         26.62           6.18         850.0 
-19        126        107.34          18.59         600.0 
-20         82        303.35          29.75         800.0 
-20         83        310.03           8.48         800.0 
-20         94        292.42          71.07         650.0 
-20         97        107.22          18.49         550.0 
-20         98         90.06          23.24         550.0 
-20        103         27.99          24.73         800.0 
-20        109         90.02           5.81         700.0 
-20        110         90.03          11.62         650.0 
-20        117         27.99           6.18         600.0 
-20        119         27.99           6.18         750.0 
-20        121        310.03           8.48         800.0 
-20        122         90.03          11.62         700.0 
-20        126         49.97           8.48         850.0 
-21         83         90.02           5.77         800.0 
-21         84         90.02           5.77         800.0 
-21         94        114.34          13.09         750.0 
-21         95        114.37          26.17         600.0 
-21         96        103.10          23.89         550.0 
-21         98        107.09          18.38         550.0 
-21         99         90.05          17.31         450.0 
-21        100        103.10          23.89         400.0 
-21        102        142.22          40.92         450.0 
-21        103        103.10          23.89         650.0 
-21        104         90.02           5.77         650.0 
-21        106         65.74          13.10         700.0 
-21        107         90.02           5.77         650.0 
-21        109        129.81          92.86         650.0 
-21        110         90.02           5.77         650.0 
-21        113         29.36           6.18         600.0 
-21        116         65.74          13.10         600.0 
-21        117         37.86          13.65         600.0 
-21        118         29.36           6.18         600.0 
-21        121        309.55           8.46         600.0 
-21        124        301.33          72.24         600.0 
-21        125        107.09          18.38         600.0 
-22         52         73.14          18.28         750.0 
-22         53         90.03          11.46         750.0 
-22         89        111.98          57.14         750.0 
-22         90         90.03          11.46         650.0 
-22         99         98.85          34.93         500.0 
-22        100         90.03          11.46         400.0 
-22        102         90.02           5.73         450.0 
-22        103         36.78          79.56         600.0 
-22        105        107.01          36.52         550.0 
-22        106         90.06          22.93         550.0 
-22        107         90.06          22.93         600.0 
-22        110         50.94           8.43         600.0 
-22        111         90.13          45.85         650.0 
-22        114         30.72           6.18         650.0 
-22        115        300.99          71.93         650.0 
-22        116         50.94           8.43         650.0 
-22        117         38.77          13.63         650.0 
-22        118        309.06           8.43         650.0 
-22        120         90.02           5.73         750.0 
-22        122         73.14          18.28         550.0 
-22        123        239.82          21.17         550.0 
-22        126         50.94           8.43         550.0 
-23         53         90.02           5.69         750.0 
-23         88         90.03          11.38         700.0 
-23         89         90.03          11.38         600.0 
-23         90         90.05          17.07         550.0 
-23         91         90.05          17.07         550.0 
-23        100        146.45          31.42         750.0 
-23        105        269.97          11.38         700.0 
-23        107         90.05          17.07         650.0 
-23        108         81.52          69.44         650.0 
-23        116        286.71          18.16         650.0 
-23        117        308.54           8.40         650.0 
-23        120         32.08           6.18         950.0 
-23        121         32.08           6.18         650.0 
-23        123         90.13          45.52         550.0 
-24         52        223.44          56.90         800.0 
-24         53         90.05          16.94         800.0 
-24         54         90.05          16.94         650.0 
-24         55         90.05          16.94         700.0 
-24         88        277.29          40.02         850.0 
-24         93        305.97          96.19         550.0 
-24         94         90.05          16.94         650.0 
-24         95        290.62          43.70         800.0 
-24        105        231.85          41.82         800.0 
-24        112         33.43           6.18         700.0 
-24        117         90.02           5.65         650.0 
-24        118         33.43           6.18         900.0 
-24        121         90.02           5.65         650.0 
-24        122         33.43           6.18         550.0 
-25         52        269.90          33.61         800.0 
-25         53         90.05          16.80         750.0 
-25         54         77.46          23.25         800.0 
-25         55         73.59          17.91         800.0 
-25         61         90.02           5.60         850.0 
-25         62         90.02           5.60         800.0 
-25         86         34.78           6.18         850.0 
-25         91        102.69          23.23         700.0 
-25         95        321.00          52.24         550.0 
-25         97         98.65          34.16         750.0 
-25         98         34.78           6.18         700.0 
-25        110         90.02           5.60         500.0 
-25        115         60.94          20.87         950.0 
-25        119        302.82          37.39         700.0 
-25        121         90.02           5.60         550.0 
-25        124         90.03          11.20         500.0 
-25        126        299.06          20.87         500.0 
-26         53        106.37          17.77         750.0 
-26         54        102.58          23.05         650.0 
-26         55         90.07          22.22         650.0 
-26         56        100.20          28.44         700.0 
-26         61         53.09           8.31         700.0 
-26         62        113.17          12.71         600.0 
-26         64         73.74          17.78         750.0 
-26         91         90.02           5.55         800.0 
-26         93         59.10          87.01         650.0 
-26         96        137.54          54.18         600.0 
-26         99        293.08          12.72         600.0 
-26        102         47.02          73.11         700.0 
-26        109         90.02           5.55         550.0 
-26        110         90.02           5.55         550.0 
-26        115         58.92          28.96         975.0 
-26        116         53.09           8.31         650.0 
-26        117        246.62          76.13         650.0 
-26        118         85.94          66.97         650.0 
-26        119        106.55          70.99         650.0 
-27         46         90.02           5.51         800.0 
-27         54        102.46          22.87         750.0 
-27         55        102.46          22.87         650.0 
-27         56        102.46          22.87         600.0 
-27         59        269.98           5.51         800.0 
-27         60        223.50          13.53         750.0 
-27         61        140.32          44.63         600.0 
-27         63        319.50          77.40         400.0 
-27         65        112.99          37.85         750.0 
-27         90         90.04          11.01         650.0 
-27         91         90.04          11.01         650.0 
-27         94         38.27          74.98         700.0 
-27         95         90.04          11.01         750.0 
-27         96         67.18          12.63         600.0 
-27         97        269.95          16.52         600.0 
-27         98         37.45          30.90         500.0 
-27        104        306.33           8.28         600.0 
-27        108         90.11          33.04         500.0 
-27        109        112.95          25.24         550.0 
-27        111         67.18          12.63         650.0 
-27        121        306.33           8.28        1000.0 
-27        123         61.67          20.64         850.0 
-27        124         61.67          20.64         550.0 
-28         46         81.80          33.33         800.0 
-28         54        305.53          82.61         750.0 
-28         57        257.66          22.67         650.0 
-28         58         62.05          20.52         650.0 
-28         59         74.08          17.50         750.0 
-28         61         49.53          29.66         550.0 
-28         65        102.34          22.67         500.0 
-28         66        102.34          22.67         650.0 
-28         95         90.02           5.46         600.0 
-28         97        305.67          33.00         450.0 
-28        107         90.22          65.48         500.0 
-28        122         38.78           6.18        1000.0 
-28        123         38.78           6.18         975.0 
-28        124         54.26           8.25         650.0 
-28        126        229.25          88.79         600.0 
-29         51         90.02           5.40         850.0 
-29         53        102.21          22.47         550.0 
-29         58         54.91          24.64         750.0 
-29         59         62.44          20.40         750.0 
-29         61        244.13          65.41         700.0 
-29         62        108.66          29.69           0.2 
-29         64        308.26          83.73         450.0 
-29         65         99.91          27.71           3.0 
-29         66        102.21          22.47         450.0 
-29         68        249.53          54.48         750.0 
-29         89         90.02           5.40         550.0 
-29         94        125.18           8.21         500.0 
-29        106         54.87           8.21         550.0 
-29        107        311.32          21.47         500.0 
-29        109        317.24          19.31         500.0 
-29        111         40.10           6.18         650.0 
-29        112        135.80          46.18         925.0 
-29        113        220.79          74.93         900.0 
-29        124         54.87           8.21         700.0 
-30         53         90.06          16.05         600.0 
-30         54        302.03          60.96         550.0 
-30         55        124.80          89.70         500.0 
-30         56        130.68          85.49           1.5 
-30         57        132.17          82.97         450.0 
-30         61         80.48          54.97         750.0 
-30         62         55.53          24.54         500.0 
-30         63         90.08          21.41         500.0 
-30         66        102.09          22.27         450.0 
-30         67        134.35          72.99         550.0 
-30         68         90.08          21.41         500.0 
-30         72         41.41           6.18         800.0 
-30         86         90.02           5.35         450.0 
-30         87         90.02           5.35         450.0 
-30         88         90.02           5.35         550.0 
-30         89         90.02           5.35         450.0 
-30         91         90.02           5.35         450.0 
-30         92        124.56           8.17         400.0 
-30         93        112.07          12.35         400.0 
-30         97         90.06          16.05           1.5 
-30         98         48.34          34.84         400.0 
-30        100         55.49           8.18         500.0 
-30        101         55.49           8.18         500.0 
-30        102         90.04          10.70         450.0 
-30        103        138.43          74.34         550.0 
-30        107        227.18          75.10         550.0 
-31         54         90.04          10.59         700.0 
-31         57        244.97          32.29           1.5 
-31         59        108.21          29.20         750.0 
-31         62        111.82          24.51         550.0 
-31         63        111.82          24.51         350.0 
-31         64        111.82          24.51         600.0 
-31         65        303.88           8.14         600.0 
-31         67        105.51          17.04         550.0 
-31         68        101.95          22.06           1.0 
-31         71        111.82          24.51         650.0 
-31         72         82.06          32.39         700.0 
-31         73         74.68          34.13         750.0 
-31         88         90.02           5.30           1.0 
-31         89         90.02           5.30           1.0 
-31         91         90.02           5.30         450.0 
-31         92        111.77          12.26           1.0 
-31         93        111.77          12.26           1.5 
-31         94        123.95          16.27         350.0 
-31         95        116.88          20.12           3.0 
-31         96        116.88          20.12           2.0 
-31        102         68.32          12.27         500.0 
-31        103         80.49          27.21         550.0 
-31        104        312.41          53.81         550.0 
-31        106         90.06          15.89         550.0 
-31        108         90.06          15.89         550.0 
-31        110         68.40          36.83         550.0 
-31        111        113.76          56.70         700.0 
-31        125         42.72          12.36         650.0 
-31        126         68.32          12.27         700.0 
-32         52         56.76           8.10         700.0 
-32         57        132.96          32.61         550.0 
-32         59        299.45          36.06         550.0 
-32         60        123.31          16.19         700.0 
-32         62        283.67          55.66         500.0 
-32         63        121.99          84.28         350.0 
-32         64        107.97          28.94           3.0 
-32         65         99.60          26.90         600.0 
-32         66        303.24           8.10         650.0 
-32         67        105.32          16.88           1.0 
-32         68        309.35          56.00         500.0 
-32         71        224.18          68.16         650.0 
-32         74         90.02           5.24         750.0 
-32         82         90.02           5.24         450.0 
-32         85         90.02           5.24         450.0 
-32         86         90.02           5.24           1.0 
-32         91        105.32          16.88           0.5 
-32         92        105.32          16.88           2.0 
-32         93        105.32          16.88           2.0 
-32         94        123.29           8.10           2.0 
-32         95        101.81          21.84           2.0 
-32        101         90.15          41.92           1.0 
-32        102         44.01           6.18         500.0 
-32        103         90.06          15.72         500.0 
-32        105         90.02           5.24         550.0 
-32        106        121.28          60.12         550.0 
-32        107        119.81          71.86         550.0 
-32        111        236.71           8.10         800.0 
-32        112         49.51          61.52         850.0 
-32        113         74.81          16.90         850.0 
-32        122         53.26          66.71         950.0 
-32        123         56.76           8.10         650.0 
-32        125         68.62          12.17         900.0 
-32        126         68.62          12.17         850.0 
-33         51         90.02           5.18         650.0 
-33         53         45.30           6.18         700.0 
-33         54        229.54          13.40         750.0 
-33         56        126.61          29.18           2.0 
-33         58        269.98           5.18         500.0 
-33         59        226.06          62.64           1.0 
-33         62         90.04          10.36         450.0 
-33         65        107.73          28.68         400.0 
-33         69         78.49          21.64         550.0 
-33         70         90.11          31.09         550.0 
-33         71        225.83          74.85         750.0 
-33         83         90.02           5.18           1.0 
-33         97        302.47          48.45         600.0 
-33         99         90.02           5.18         500.0 
-33        103         45.30           6.18         500.0 
-33        105         90.02           5.18         600.0 
-33        107        298.36          63.74         650.0 
-33        108        133.18          44.46         600.0 
-33        113         90.06          15.54         850.0 
-33        122         57.41           8.07         750.0 
-33        123         57.41           8.07         800.0 
-33        124         57.41           8.07         850.0 
-34         48        269.87          35.85         600.0 
-34         49        127.02          21.17           1.0 
-34         50        229.22          65.05         600.0 
-34         52         90.06          15.37         700.0 
-34         53        104.92          16.55         700.0 
-34         58        133.42           6.18           3.0 
-34         59        127.02          21.17         350.0 
-34         60        121.99          16.04           0.5 
-34         68        107.59          56.76         450.0 
-34         69         90.04          10.24         550.0 
-34         72        133.42          74.13         700.0 
-34         73         75.27          33.15         650.0 
-34         83         90.04          10.24           2.0 
-34         84         90.02           5.12           2.0 
-34         85         90.02           5.12         400.0 
-34        100        295.24          79.09         500.0 
-34        103         90.02           5.12         600.0 
-34        104         69.25          11.97         600.0 
-34        106         72.73          28.46         600.0 
-34        108        259.57          47.67         700.0 
-34        111        104.92          16.55         600.0 
-34        113         83.43          36.40         850.0 
-34        122         58.08           8.03         800.0 
-34        123         90.02           5.12         700.0 
-35         47         90.06          15.18           1.0 
-35         48         75.41          16.40         450.0 
-35         51         90.02           5.06         750.0 
-35         52         90.06          15.18         700.0 
-35         53         90.06          15.18         650.0 
-35         54        306.00          42.27         650.0 
-35         56        128.42          26.69         350.0 
-35         57        124.93          28.98           3.0 
-35         58        115.13          19.56         200.0 
-35         59        121.34          23.94           0.2 
-35         60         90.02           5.06         450.0 
-35         62         82.43          31.00         400.0 
-35         67         99.26          26.03           2.0 
-35         68         61.55          43.38         350.0 
-35         70        247.92          66.70           1.0 
-35         71         80.94          26.06         600.0 
-35         73         90.02           5.06         550.0 
-35         83         90.02           5.06           1.5 
-35         84        104.71          16.38         400.0 
-35         85        238.71           7.98           1.5 
-35        108         90.06          15.18         700.0 
-35        113        121.29           7.98         800.0 
-35        114         47.85          24.71         800.0 
-35        123         58.75           7.99         750.0 
-35        125         69.58          11.86         700.0 
-36         48         69.92          11.76           3.0 
-36         49         75.62          16.22           1.0 
-36         51         90.02           5.00         550.0 
-36         54         90.04           9.99         700.0 
-36         57         50.12          75.65           5.0 
-36         59        104.50          16.21           7.0 
-36         63        114.67          19.41         400.0 
-36         66        126.42          81.85           0.5 
-36         67         99.14          25.72           0.2 
-36         69         90.10          24.99           0.5 
-36         70        128.54          32.45         450.0 
-36         71        104.56          32.40         450.0 
-36         75         90.02           5.00           1.5 
-36        107         94.08          60.25         650.0 
-36        111         63.76          54.63         800.0 
-36        112         49.12           6.18         600.0 
-36        125         90.02           5.00         700.0 
-37         47         75.84          16.05           1.0 
-37         48        304.22          21.00         500.0 
-37         50         90.02           4.93         700.0 
-37         53         90.04           9.87         850.0 
-37         55        250.17          11.63         700.0 
-37         57        122.60          36.61           5.0 
-37         58        291.63          42.53           4.0 
-37         62        119.94          15.80           1.5 
-37         64        109.87          23.26         550.0 
-37         67         99.01          25.41           3.0 
-37         68        262.28          60.40           3.0 
-37         70         90.10          24.67           1.0 
-37         71        264.78          44.80           1.5 
-37         72         90.02           4.93         450.0 
-37         77         90.02           4.93           1.0 
-37         84         90.02           4.93         500.0 
-37        104         67.59          30.89         600.0 
-37        105         70.35          34.97         650.0 
-37        110        286.90          66.94         750.0 
-37        111        119.92           7.90         750.0 
-38         46         61.01          70.94         600.0 
-38         48         90.02           4.87         600.0 
-38         50        240.68          47.11         750.0 
-38         51         76.06          15.86         900.0 
-38         52         90.04           9.73         850.0 
-38         56        123.39          20.92         400.0 
-38         57        119.26          23.57           3.0 
-38         61        113.71          19.11           1.0 
-38         67        258.93          61.16           3.0 
-38         68        100.90          20.41         400.0 
-38         70        104.06          15.84         450.0 
-38         72        119.41          78.43           2.0 
-38         77         90.02           4.87         550.0 
-38         83         90.06          14.60         500.0 
-38        103         60.83           7.87         650.0 
-39         47         90.02           4.80         500.0 
-39         50         90.04           9.60         700.0 
-39         51         90.04           9.60         650.0 
-39         52        118.50           7.82         600.0 
-39         55        109.12          11.41         700.0 
-39         58        269.92          19.20           0.5 
-39         59        118.52          15.64           0.5 
-39         62        254.94          58.16         600.0 
-39         66         90.11          28.80           1.0 
-39         67         76.41          47.09           2.0 
-39         68         98.76          24.76         450.0 
-39         71         90.08          19.20           0.5 
-39         73         90.02           4.80           0.5 
-39         74        295.09          61.27           1.5 
-39         84        124.28          13.25         500.0 
-39         86         90.06          14.40         550.0 
-40         51        112.72          18.80           1.0 
-40         52        103.60          15.47         700.0 
-40         53        108.75          11.29         750.0 
-40         58        115.19          34.15           3.0 
-40         60        117.83          23.32           3.0 
-40         61        108.79          22.57           0.5 
-40         64        235.32          57.34           2.0 
-40         70        269.96           9.46           2.0 
-40         72        100.57          19.89         450.0 
-40         73        241.07          90.29         500.0 
-40         82         90.02           4.73         550.0 
-40         83         90.06          14.19         550.0 
-40         84        105.87          26.65         550.0 
-40         85         90.08          18.92         550.0 
-40         87         76.52          15.49         550.0 
-40         88         90.06          14.19         600.0 
-40         89         90.04           9.46         550.0 
-40        100         90.02           4.73         600.0 
-40        102         90.04           9.46         600.0 
-40        103         90.02           4.73         550.0 
